,Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
0,Winter Is Coming,2011,TV-MA,17 Apr 2011,1,1,62 min,"Action, Adventure, Drama",Timothy Van Patten,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau",Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTYwZDNlMDMtZWRkNC00NzNkLTk2ZDMtNGQ1MmEwNzAwZGZhXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,45968,tt1480055,tt0944947,episode,True
1,The Kingsroad,2011,TV-MA,24 Apr 2011,1,2,56 min,"Action, Adventure, Drama",Timothy Van Patten,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau","While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",English,"United States, Ireland, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMTQyMjMzMDIxOV5BMl5BanBnXkFtZTcwODU2ODg5NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,34694,tt1668746,tt0944947,episode,True
2,Lord Snow,2011,TV-MA,01 May 2011,1,3,58 min,"Action, Adventure, Drama",Brian Kirk,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau",Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmUzN2FiYjItZGUyMy00ZjNlLWFjOWYtZDI4Yzk3YzQ4OGRmXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,33050,tt1829962,tt0944947,episode,True
3,"Cripples, Bastards, and Broken Things",2011,TV-MA,08 May 2011,1,4,56 min,"Action, Adventure, Drama",Brian Kirk,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau","Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.","Russian, English",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTMwNDQ0MTIyMl5BMl5BanBnXkFtZTcwODkxMzkxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,31250,tt1829963,tt0944947,episode,True
4,The Wolf and the Lion,2011,TV-MA,15 May 2011,1,5,55 min,"Action, Adventure, Drama",Brian Kirk,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau","Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDVkY2VhNzYtZGJkOC00NWRjLWJiZTgtMjI4YmI3ZTU0Y2E4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,32506,tt1829964,tt0944947,episode,True
5,A Golden Crown,2011,TV-MA,22 May 2011,1,6,53 min,"Action, Adventure, Drama",Daniel Minahan,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Michelle Fairley","While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGVlM2IyNzgtNjI3OC00NzEwLThkYTUtZDkxYTY3ZGU0OTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,32289,tt1837862,tt0944947,episode,True
6,You Win or You Die,2011,TV-MA,29 May 2011,1,7,58 min,"Action, Adventure, Drama",Daniel Minahan,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Mark Addy, Nikolaj Coster-Waldau","Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgyMzYwMDM1N15BMl5BanBnXkFtZTcwODc0NTM0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,32676,tt1837863,tt0944947,episode,True
7,The Pointy End,2011,TV-MA,05 Jun 2011,1,8,59 min,"Action, Adventure, Drama",Daniel Minahan,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Michelle Fairley, Lena Headey",The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2UwZmMwNGUtZGNjYi00OWRhLWJlOTUtYjkwNTIyZWNlZDgzXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,30718,tt1837864,tt0944947,episode,True
8,Baelor,2011,TV-MA,12 Jun 2011,1,9,57 min,"Action, Adventure, Drama",Alan Taylor,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Michelle Fairley, Nikolaj Coster-Waldau",Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNThmNzJhZDMtMmFiZC00OGY1LTgzMTEtNTkwOGNiMWI1ZGYzXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.6/10'}]",N/A,9.6,42913,tt1851398,tt0944947,episode,True
9,Fire and Blood,2011,TV-MA,19 Jun 2011,1,10,53 min,"Action, Adventure, Drama",Alan Taylor,"David Benioff, D.B. Weiss, George R.R. Martin","Sean Bean, Michelle Fairley, Nikolaj Coster-Waldau",Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODI1OWYzOGEtNzkxNi00OTYxLWE1YjktY2FiMTYzNzk1MGJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.5/10'}]",N/A,9.5,37743,tt1851397,tt0944947,episode,True
