,Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
0,eps1.0_hellofriend.mov,2015,TV-14,24 Jun 2015,1,1,62 min,"Crime, Drama, Thriller",Niels Arden Oplev,Sam Esmail,"Rami Malek, Carly Chaikin, Portia Doubleday","A notorious hacker takes an interest in cyber security engineer and vigilante styled computer hacker Elliot, while an evil corporation is hacked.","Spanish, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg2MDM5MzgyMl5BMl5BanBnXkFtZTgwMTkzMzk5NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,16046,tt4652838,tt4158110,episode,True
1,eps1.1_ones-and-zer0es.mpeg,2015,TV-14,01 Jul 2015,1,2,48 min,"Crime, Drama, Thriller",Sam Esmail,Sam Esmail,"Rami Malek, Carly Chaikin, Portia Doubleday",Elliot is hesitant about fsociety; Elliot is offered a new job; Elliot worries about Shayla's association with Fernando Vera; Ollie is given a CD outside of Allsafe; Mr. Robot makes Elliot talk about his father.,"Spanish, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjIzZGNlZDAtN2NmMi00NzNlLWEyNmItNjI1M2M3ZThlMmZmXkEyXkFqcGdeQXVyNzgxMzc3OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,11292,tt4686038,tt4158110,episode,True
2,eps1.2_d3bug.mkv,2015,TV-14,08 Jul 2015,1,3,46 min,"Crime, Drama, Thriller",Jim McKay,Sam Esmail,"Rami Malek, Carly Chaikin, Portia Doubleday","Elliot tries to live a bug-free life, but is quickly drawn back in; Tyrell takes matters into his own hands when the CTO position becomes available; Ollie gets blackmailed; Gideon starts getting suspicious of the infected server.","Spanish, English, Danish, Swedish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg5OTkyMDc0M15BMl5BanBnXkFtZTgwMjA4MzgxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,10059,tt4730002,tt4158110,episode,True
3,eps1.3_da3m0ns.mp4,2015,TV-14,15 Jul 2015,1,4,46 min,"Crime, Drama, Thriller",Nisha Ganatra,"Sam Esmail, Adam Penn","Rami Malek, Carly Chaikin, Portia Doubleday","While dealing with his withdrawal, Elliot suffers a series of hallucinations about his life, while Shayla helps Angela take an unexpected trip.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA5OTcwODc3NF5BMl5BanBnXkFtZTgwNDMzODgwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,9943,tt4659980,tt4158110,episode,True
4,eps1.4_3xpl0its.wmv,2015,TV-14,22 Jul 2015,1,5,45 min,"Crime, Drama, Thriller",Jim McKay,"Sam Esmail, David Iserson","Rami Malek, Carly Chaikin, Portia Doubleday","Fsociety attempts to penetrate Steel Mountain, the most secure data facility in America, while Angela makes an important decision.","Spanish, English, Swedish, Danish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMzQ5NTg5ODQyMV5BMl5BanBnXkFtZTgwNjcxNzMzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,8969,tt4730012,tt4158110,episode,True
5,eps1.5_br4ve-trave1er.asf,2015,TV-14,29 Jul 2015,1,6,45 min,"Crime, Drama, Thriller",Deborah Chow,"Sam Esmail, Kyle Bradstreet","Rami Malek, Carly Chaikin, Portia Doubleday","Elliot attempts to hack Vera out of jail in order to save someone he cares about; Tyrell's ""game"" gets crazy; and Angela digs deeper into her mother's death.","Spanish, English, Swedish, Danish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc2NDc0ODc3MV5BMl5BanBnXkFtZTgwODYxNzMzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,10528,tt4730014,tt4158110,episode,True
6,eps1.6_v1ew-s0urce.flv,2015,TV-14,05 Aug 2015,1,7,45 min,"Crime, Drama, Thriller",Sam Esmail,"Sam Esmail, Kate Erickson","Rami Malek, Carly Chaikin, Portia Doubleday",Elliot misses Shayla. Angela makes a deal with Colby. Sharon Knowles has an encounter with Tyrell.,"Spanish, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzM3OTY1NDkwOV5BMl5BanBnXkFtZTgwODI1ODU0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,8536,tt4730018,tt4158110,episode,True
7,eps1.7_wh1ter0se.m4v,2015,TV-14,12 Aug 2015,1,8,45 min,"Crime, Drama, Thriller",Christoph Schrewe,"Sam Esmail, Randolph Leon","Rami Malek, Carly Chaikin, Portia Doubleday",Allsafe is hacked and Elliot is meeting White Rose. Tyrell is interrogated by the police and Elliot remembers who he really is.,"Spanish, English, Swedish, Danish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUzNDYwODIwMV5BMl5BanBnXkFtZTgwNDA2NDgwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,12574,tt4730026,tt4158110,episode,True
8,eps1.8_m1rr0r1ng.qt,2015,TV-14,19 Aug 2015,1,9,49 min,"Crime, Drama, Thriller",Tricia Brock,Sam Esmail,"Rami Malek, Carly Chaikin, Portia Doubleday","Elliot has to face the challenges of his past, and become accustomed to his new found family.","Spanish, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzg0NTcyOTQ5Ml5BMl5BanBnXkFtZTgwMjE3OTM2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,10336,tt4799588,tt4158110,episode,True
9,eps1.9_zer0-day.avi,2015,TV-14,02 Sep 2015,1,10,54 min,"Crime, Drama, Thriller",Sam Esmail,Sam Esmail,"Rami Malek, Carly Chaikin, Portia Doubleday","Another huge discovery for Elliot surrounding his family and fsociety, Tyrell's world starts to close around him and Angela has a rather unexpected visitor.","English, Danish, Spanish",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTA5OTM2MzIwNTJeQTJeQWpwZ15BbWU4MDg4MDgzNzYx._V1_SX300.jpg,[],N/A,N/A,9200,tt4652854,tt4158110,episode,True
