,Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
0,Chapter One: The Vanishing of Will Byers,2016,TV-14,15 Jul 2016,1,1,47 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","At the U.S. Dept. of Energy an unexplained event occurs. Then when a young Dungeons and Dragons playing boy named Will disappears after a night with his friends, his mother Joyce and the town of Hawkins are plunged into darkness.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUwNTE0ODYzOF5BMl5BanBnXkFtZTgwOTc0ODE0OTE@._V1_SX300.jpg,[],N/A,N/A,20741,tt4593118,tt4574334,episode,True
1,Chapter Two: The Weirdo on Maple Street,2016,TV-14,15 Jul 2016,1,2,55 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard",Mike hides the mysterious girl in his house. Joyce gets a strange phone call.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzk2YzFhM2MtNjM4Ny00NTBhLTljZTUtNzcwM2ZiMWQ3MjYwXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,18493,tt4593122,tt4574334,episode,True
2,"Chapter Three: Holly, Jolly",2016,TV-14,15 Jul 2016,1,3,51 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, Jessica Mecklenburg","Winona Ryder, David Harbour, Finn Wolfhard",An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTcyNjU2MTM3MV5BMl5BanBnXkFtZTgwMjc0ODE0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,18413,tt4593126,tt4574334,episode,True
3,Chapter Four: The Body,2016,TV-14,15 Jul 2016,1,4,49 min,"Drama, Fantasy, Horror",Shawn Levy,"Matt Duffer, Ross Duffer, Justin Doble","Winona Ryder, David Harbour, Finn Wolfhard","Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Jonathan and Nancy form an unlikely alliance.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTkwMjU2MjgzOV5BMl5BanBnXkFtZTgwMzAzOTQ5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,18100,tt4593124,tt4574334,episode,True
4,Chapter Five: The Flea and the Acrobat,2016,TV-14,15 Jul 2016,1,5,52 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Alison Tatlock","Winona Ryder, David Harbour, Finn Wolfhard","Hopper breaks into the lab to find the truth about Will's death. The boys try to locate the ""gate"" that will take them to Will.","English, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjM0NjQxNTkwOF5BMl5BanBnXkFtZTgwMzY0ODE0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,17130,tt4593128,tt4574334,episode,True
5,Chapter Six: The Monster,2016,TV-14,15 Jul 2016,1,6,46 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","Hopper and Joyce find the truth about the lab's experiments. After their fight, the boys look for the missing Eleven.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDE1MjQ1MDE3NF5BMl5BanBnXkFtZTgwOTY0ODE0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,17003,tt4593132,tt4574334,episode,True
6,Chapter Seven: The Bathtub,2016,TV-14,15 Jul 2016,1,7,41 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Justin Doble","Winona Ryder, David Harbour, Finn Wolfhard",The government comes searching for Eleven. Eleven looks for Will and Barb in the Upside Down.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjMyNTkyMTg1Ml5BMl5BanBnXkFtZTgwMjAzOTQ5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,17737,tt4593134,tt4574334,episode,True
7,Chapter Eight: The Upside Down,2016,TV-14,15 Jul 2016,1,8,54 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Paul Dichter","Winona Ryder, David Harbour, Finn Wolfhard",Joyce and Hopper are taken in for questioning. Nancy and Jonathan prepare to fight the monster and save Will.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTEzNzk3MDY5MDdeQTJeQWpwZ15BbWU4MDg4NDgxNDkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,21026,tt4593138,tt4574334,episode,True
8,Chapter One: MADMAX,2017,TV-14,27 Oct 2017,2,1,48 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjkwNzI1MDU5OV5BMl5BanBnXkFtZTgwNTk4MzcyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,16466,tt6020684,tt4574334,episode,True
9,"Chapter Two: Trick or Treat, Freak",2017,TV-14,27 Oct 2017,2,2,56 min,"Drama, Fantasy, Horror","Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer, Jessie Nickson-Lopez","Winona Ryder, David Harbour, Finn Wolfhard","After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTY2MDE3ODU2OV5BMl5BanBnXkFtZTgwMjE4MzcyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,15225,tt6020792,tt4574334,episode,True
