,Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
0,Chapter 1: The Mandalorian,2019,TV-PG,12 Nov 2019,1,1,39 min,"Action, Adventure, Fantasy",Dave Filoni,"Jon Favreau, George Lucas","Pedro Pascal, Carl Weathers, Werner Herzog","A Mandalorian bounty hunter tracks a target for a well-paying, mysterious client.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTViYzhmZTAtY2MzYi00ZTk1LTg5OGItYzc4MjBlYzlkNzU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,29994,tt9095424,tt8111088,episode,True
1,Chapter 2: The Child,2019,TV-PG,15 Nov 2019,1,2,31 min,"Action, Adventure, Fantasy",Rick Famuyiwa,"Jon Favreau, George Lucas","Pedro Pascal, Nick Nolte, Misty Rosas","Target in hand, the Mandalorian must now contend with scavengers.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWZjOTY3MGUtMDI4OS00MzYwLWFhMGEtNjE0Nzc3N2MxOTljXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,26522,tt9121530,tt8111088,episode,True
2,Chapter 3: The Sin,2019,TV-14,22 Nov 2019,1,3,37 min,"Action, Adventure, Fantasy",Deborah Chow,"Jon Favreau, George Lucas","Pedro Pascal, Werner Herzog, Omid Abtahi",The battered Mandalorian returns to his client for his reward.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2FiMTc4NTktZDdlNS00ODM1LTlmYjgtZGEyMjU1ZGNkMjY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,26713,tt9121534,tt8111088,episode,True
3,Chapter 4: Sanctuary,2019,TV-14,29 Nov 2019,1,4,41 min,"Action, Adventure, Fantasy",Bryce Dallas Howard,"Jon Favreau, George Lucas","Pedro Pascal, Gina Carano, Julia Jones",The Mandalorian teams up with an ex-soldier to protect a farming village from raiders.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzdkZjM4MDMtZTg3OS00NWRhLWJhMmItMzE5OWVlYjdjNTZjXkEyXkFqcGdeQXVyOTM5NDY1MzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,24966,tt9121536,tt8111088,episode,True
4,Chapter 5: The Gunslinger,2019,TV-14,06 Dec 2019,1,5,35 min,"Action, Adventure, Fantasy",Dave Filoni,"Dave Filoni, Jon Favreau, George Lucas","Pedro Pascal, Amy Sedaris, Jake Cannavale","On a familiar desert planet, the Mandalorian helps a rookie bounty hunter who is in over his head.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzFiOWYzNzQtNjZiNC00YWRmLThjOWQtOGQ4YWMzOGIxM2FmXkEyXkFqcGdeQXVyOTg3NjI1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,22025,tt9121538,tt8111088,episode,True
5,Chapter 6: The Prisoner,2019,TV-PG,13 Dec 2019,1,6,43 min,"Action, Adventure, Fantasy",Rick Famuyiwa,"Christopher L. Yost, Rick Famuyiwa, Jon Favreau","Pedro Pascal, Mark Boone Junior, Bill Burr",The Mandalorian is part of a crew of mercenaries springing a convict from a prison ship.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGYzOGEyNTgtMmEyZS00Yjk0LWIwYzUtMTNhZGMzODIzM2Q1XkEyXkFqcGdeQXVyNDM5MDAzNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,23071,tt9121542,tt8111088,episode,True
6,Chapter 7: The Reckoning,2019,TV-14,18 Dec 2019,1,7,41 min,"Action, Adventure, Fantasy",Deborah Chow,"Jon Favreau, George Lucas","Pedro Pascal, Carl Weathers, Gina Carano",An old contact extends an invitation for the Mandalorian to make peace with his enemies.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjk5NWQxZmQtNTdkNS00Y2ZjLTkwNDYtNmIwNmQ4Yzc1YzIwXkEyXkFqcGdeQXVyOTg3NjI1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,22198,tt9121544,tt8111088,episode,True
7,Chapter 8: Redemption,2019,TV-14,27 Dec 2019,1,8,48 min,"Action, Adventure, Fantasy",Taika Waititi,"Jon Favreau, George Lucas","Pedro Pascal, Taika Waititi, Giancarlo Esposito","The Mandalorian and his allies come to know their true enemy, who already knows much about them.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGU0MDVlOWQtYjc1ZC00OWQ4LWI2ZWYtOWUyNmYyNzRmOWU5XkEyXkFqcGdeQXVyNjczOTE0MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",N/A,9.3,24335,tt9121546,tt8111088,episode,True
8,Chapter 9: The Marshal,2020,TV-14,30 Oct 2020,2,1,52 min,"Action, Adventure, Fantasy",Jon Favreau,"Jon Favreau, George Lucas","Pedro Pascal, John Leguizamo, Amy Sedaris",The Mandalorian is drawn to the Outer Rim in search of others of his kind.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjBlMTFlNmMtZTA4NC00ZDNiLWFhMzEtNmJkNDkyMDViODExXkEyXkFqcGdeQXVyNzgxMzc3OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,24164,tt11150494,tt8111088,episode,True
9,Chapter 10: The Passenger,2020,N/A,06 Nov 2020,2,2,40 min,"Action, Adventure, Fantasy",Peyton Reed,"Jon Favreau, George Lucas","Pedro Pascal, Amy Sedaris, Misty Rosas",The Mandalorian must ferry a passenger with precious cargo on a risky journey.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGJmZGVkN2MtZTk5Zi00ODYzLWExNmYtZmUzMDljZDQ4MzU2XkEyXkFqcGdeQXVyMTI0NTA1MDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,20761,tt12981670,tt8111088,episode,True
10,Chapter 11: The Heiress,2020,N/A,13 Nov 2020,2,3,35 min,"Action, Adventure, Fantasy",Bryce Dallas Howard,"Jon Favreau, George Lucas","Pedro Pascal, Misty Rosas, Sasha Banks",The Mandalorian braves high seas and meets unexpected allies.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmIxYzk4NDAtMWRjZi00M2Y2LTgyN2UtNTcwZTFjMGMyZmRhXkEyXkFqcGdeQXVyMTI0NTA1MDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,20718,tt12981672,tt8111088,episode,True
11,Chapter 12: The Siege,2020,N/A,20 Nov 2020,2,4,37 min,"Action, Adventure, Fantasy",Carl Weathers,"Jon Favreau, George Lucas","Pedro Pascal, Gina Carano, Carl Weathers",The Mandalorian rejoins old allies for a new mission.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWM2YTA0MWYtYmE4MC00ZjFiLThhOTUtNWQ1NzMxMTVlYWVlXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,18585,tt12981674,tt8111088,episode,True
12,Chapter 13: The Jedi,2020,N/A,27 Nov 2020,2,5,45 min,"Action, Adventure, Fantasy",Dave Filoni,"Dave Filoni, Jon Favreau, George Lucas","Pedro Pascal, Michael Biehn, Rosario Dawson",The Mandalorian travels to a world ruled by a ruthless magistrate who has made a powerful enemy.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWVhMjUyMGEtNGE2OC00MDAxLWIwYjItNTZmNTlkMzQyMWQzXkEyXkFqcGdeQXVyMTA4NzQxMzQ4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",N/A,9.4,28653,tt13052856,tt8111088,episode,True
13,Chapter 14: The Tragedy,2020,N/A,04 Dec 2020,2,6,32 min,"Action, Adventure, Fantasy",Robert Rodriguez,"Jon Favreau, George Lucas","Pedro Pascal, Temuera Morrison, Ming-Na Wen",The Mandalorian and Child travel to an ancient site.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjU2OTJhODYtMmUzYS00MTE4LTg0OTMtMGI5Njg2NGVjNTQ5XkEyXkFqcGdeQXVyNzgxMzc3OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.2/10'}]",N/A,9.2,21732,tt13052868,tt8111088,episode,True
14,Chapter 15: The Believer,2020,N/A,11 Dec 2020,2,7,38 min,"Action, Adventure, Fantasy",Rick Famuyiwa,"Rick Famuyiwa, Jon Favreau, George Lucas","Pedro Pascal, Bill Burr, Gina Carano","To move against the Empire, the Mandalorian needs the help of an old enemy.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGFjZGFkZTgtMWMxMS00ZDA0LThmYWItYzA0ZmJlMWQ5NTg4XkEyXkFqcGdeQXVyNzgxMzc3OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,18984,tt13052876,tt8111088,episode,True
15,Chapter 16: The Rescue,2020,N/A,18 Dec 2020,2,8,44 min,"Action, Adventure, Fantasy",Peyton Reed,"Jon Favreau, George Lucas","Pedro Pascal, Omid Abtahi, Temuera Morrison",The Mandalorian and his allies attempt a daring rescue.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzhmZTRlMDgtYjdhYi00OWQ2LWJjM2EtYWMwZDY3ZjNhY2JlXkEyXkFqcGdeQXVyMzE2MjUwNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.8/10'}]",N/A,9.8,52180,tt13052880,tt8111088,episode,True
16,Episode #3.1,2022,N/A,N/A,3,1,N/A,"Action, Adventure, Fantasy",N/A,"Jon Favreau, George Lucas","Pedro Pascal, Carl Weathers","On this IMDbrief, let's open ""The Book of Boba Fett"" and break down everything we know about the intergalactic Disney+ series.",English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12187072,tt8111088,episode,True
17,Episode #3.2,2022,N/A,N/A,3,2,N/A,"Action, Adventure, Sci-Fi",N/A,"Jon Favreau, George Lucas",Pedro Pascal,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13439668,tt8111088,episode,True
18,Episode #3.3,2022,N/A,N/A,3,3,N/A,"Action, Adventure, Sci-Fi",N/A,"Jon Favreau, George Lucas",Pedro Pascal,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13665846,tt8111088,episode,True
19,Episode #3.4,2022,N/A,N/A,3,4,N/A,"Action, Adventure, Sci-Fi",N/A,"Jon Favreau, George Lucas",Pedro Pascal,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13669018,tt8111088,episode,True
20,Episode #3.5,2022,N/A,N/A,3,5,N/A,"Action, Adventure, Sci-Fi",N/A,"Jon Favreau, George Lucas",Pedro Pascal,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13801574,tt8111088,episode,True
21,Episode #3.6,2022,N/A,N/A,3,6,N/A,"Action, Adventure, Sci-Fi",N/A,"Jon Favreau, George Lucas",Pedro Pascal,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13801578,tt8111088,episode,True
